country,district_code,district,centx,centy,year,month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,date,province,administrative_region,quarters
South Sudan,104,Pibor,33.5681,6.396368,2014,10,2.0,0.0,0.6706782,110.2521,22.82504,4.155832,25.43655,6.079255,0,0,2.004303,33147.44,28.63814,195764.0,23095.27,80.77062,2014-10-01,Greater Upper Nile,Greater Upper Nile,2014Q4
South Sudan,104,Pibor,33.5681,6.396368,2015,1,2.0,0.0,0.3511255,109.4307,0.9877789,-0.283295,2.338654,0.3332144,1,0,2.167131,33147.44,28.63814,199975.0,23095.27,80.77062,2015-01-01,Greater Upper Nile,Greater Upper Nile,2015Q1
South Sudan,104,Pibor,33.5681,6.396368,2015,4,2.0,0.0,0.4002407,114.4948,13.07935,-0.06234076,12.26689,3.808762,0,0,2.428781,33147.44,28.63814,199975.0,23095.27,80.77062,2015-04-01,Greater Upper Nile,Greater Upper Nile,2015Q2
South Sudan,104,Pibor,33.5681,6.396368,2015,7,2.0,0.0,0.6619581,104.5919,24.68576,-2.54601,25.19846,3.735367,0,0,3.138687,33147.44,28.63814,199975.0,23095.27,80.77062,2015-07-01,Greater Upper Nile,Greater Upper Nile,2015Q3
South Sudan,104,Pibor,33.5681,6.396368,2015,10,2.0,0.0,0.6118744,100.5855,23.26834,4.599124,16.98307,-2.374225,0,0,3.706948,33147.44,28.63814,199975.0,23095.27,80.77062,2015-10-01,Greater Upper Nile,Greater Upper Nile,2015Q4
South Sudan,104,Pibor,33.5681,6.396368,2016,2,2.0,0.0,0.2444376,97.17512,1.426683,-0.7671408,0.2597051,-0.6680023,6,45,5.330877,33147.44,28.63814,167091.0,23095.27,80.77062,2016-02-01,Greater Upper Nile,Greater Upper Nile,2016Q1
South Sudan,104,Pibor,33.5681,6.396368,2016,6,3.0,0.0,0.5144836,91.4321,18.74666,-0.6669301,17.91448,0.08351559,0,0,8.532528,33147.44,28.63814,167091.0,23095.27,80.77062,2016-06-01,Greater Upper Nile,Greater Upper Nile,2016Q2
South Sudan,104,Pibor,33.5681,6.396368,2016,10,2.0,0.0,0.5195016,85.40036,15.59324,-3.075978,14.43042,-4.926875,0,0,15.39892,33147.44,28.63814,167091.0,23095.27,80.77062,2016-10-01,Greater Upper Nile,Greater Upper Nile,2016Q4
South Sudan,104,Pibor,33.5681,6.396368,2017,2,3.0,0.0,0.2371015,94.25869,5.403099,3.209275,1.284607,0.3568995,3,3,23.09451,33147.44,28.63814,134208.0,23095.27,80.77062,2017-02-01,Greater Upper Nile,Greater Upper Nile,2017Q1
South Sudan,104,Pibor,33.5681,6.396368,2017,6,3.0,0.0,0.5910109,105.0323,17.79154,-1.622053,18.40879,0.5778345,0,0,35.64805,33147.44,28.63814,134208.0,23095.27,80.77062,2017-06-01,Greater Upper Nile,Greater Upper Nile,2017Q2
South Sudan,104,Pibor,33.5681,6.396368,2017,10,4.0,0.0,0.6713117,110.3563,20.33272,1.663506,25.578,6.220707,1,0,37.35106,33147.44,28.63814,134208.0,23095.27,80.77062,2017-10-01,Greater Upper Nile,Greater Upper Nile,2017Q4
South Sudan,104,Pibor,33.5681,6.396368,2018,2,4.0,0.0,0.2809033,111.6719,2.904818,0.7109941,1.931828,1.004121,3,0,38.00774,33147.44,28.63814,101325.0,23095.27,80.77062,2018-02-01,Greater Upper Nile,Greater Upper Nile,2018Q1
South Sudan,104,Pibor,33.5681,6.396368,2018,6,4.0,0.0,0.7148073,127.0329,20.26572,0.8521232,25.3835,7.552537,2,0,47.65739,33147.44,28.63814,101325.0,23095.27,80.77062,2018-06-01,Greater Upper Nile,Greater Upper Nile,2018Q2
